,Перемога,Олексіївська,23 серпня,Ботанічний сад,Наукова,Держпром,Архітектора Бекетова,Захисників України,Метробудівників,Холодна гора,Південний вокзал,Центральний ринок,Майдан Конституції,Проспект Гагаріна,Спортивна,Завод імені Малишева,Турбоатом,Палац спорту,Армійська,Імені Масельського,Тракторний завод,Індустріальна,Героїв праці,Студентська,Академіка Павлова,Академіка Барабашова,Київська,Пушкінська,Університет,Історичний музей
Перемога,0,1,2,3,4,5,6,7,8,13,12,11,10,11,10,11,12,13,14,15,16,17,13,12,11,10,9,8,7,8
Олексіївська,1,0,1,2,3,4,5,6,7,12,11,10,9,10,9,10,11,12,13,14,15,16,12,11,10,9,8,7,6,7
23 серпня,2,1,0,1,2,3,4,5,6,11,10,9,8,9,8,9,10,11,12,13,14,15,11,10,9,8,7,6,5,6
Ботанічний сад,3,2,1,0,1,2,3,4,5,10,9,8,7,8,7,8,9,10,11,12,13,14,10,9,8,7,6,5,4,5
Наукова,4,3,2,1,0,1,2,3,4,9,8,7,6,7,6,7,8,9,10,11,12,13,9,8,7,6,5,4,3,4
Держпром,5,4,3,2,1,0,1,2,3,8,7,6,5,6,5,6,7,8,9,10,11,12,8,7,6,5,4,3,2,3
Архітектора Бекетова,6,5,4,3,2,1,0,1,2,9,8,7,6,5,4,5,6,7,8,9,10,11,9,8,7,6,5,4,3,4
Захисників України,7,6,5,4,3,2,1,0,1,8,7,6,5,4,3,4,5,6,7,8,9,10,10,9,8,7,6,5,4,5
Метробудівників,8,7,6,5,4,3,2,1,0,7,6,5,4,3,2,3,4,5,6,7,8,9,11,10,9,8,7,6,5,6
Холодна гора,13,12,11,10,9,8,9,8,7,0,1,2,3,4,5,6,7,8,9,10,11,12,12,11,10,9,8,7,6,5
Південний вокзал,12,11,10,9,8,7,8,7,6,1,0,1,2,3,4,5,6,7,8,9,10,11,11,10,9,8,7,6,5,4
Центральний ринок,11,10,9,8,7,6,7,6,5,2,1,0,1,2,3,4,5,6,7,8,9,10,10,9,8,7,6,5,4,3
Майдан Конституції,10,9,8,7,6,5,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,9,8,7,6,5,4,3,2
Проспект Гагаріна,11,10,9,8,7,6,5,4,3,4,3,2,1,0,1,2,3,4,5,6,7,8,10,9,8,7,6,5,4,3
Спортивна,10,9,8,7,6,5,4,3,2,5,4,3,2,1,0,1,2,3,4,5,6,7,11,10,9,8,7,6,5,4
Завод імені Малишева,11,10,9,8,7,6,5,4,3,6,5,4,3,2,1,0,1,2,3,4,5,6,12,11,10,9,8,7,6,5
Турбоатом,12,11,10,9,8,7,6,5,4,7,6,5,4,3,2,1,0,1,2,3,4,5,13,12,11,10,9,8,7,6
Палац спорту,13,12,11,10,9,8,7,6,5,8,7,6,5,4,3,2,1,0,1,2,3,4,14,13,12,11,10,9,8,7
Армійська,14,13,12,11,10,9,8,7,6,9,8,7,6,5,4,3,2,1,0,1,2,3,15,14,13,12,11,10,9,8
Імені Масельського,15,14,13,12,11,10,9,8,7,10,9,8,7,6,5,4,3,2,1,0,1,2,16,15,14,13,12,11,10,9
Тракторний завод,16,15,14,13,12,11,10,9,8,11,10,9,8,7,6,5,4,3,2,1,0,1,17,16,15,14,13,12,11,10
Індустріальна,17,16,15,14,13,12,11,10,9,12,11,10,9,8,7,6,5,4,3,2,1,0,18,17,16,15,14,13,12,11
Героїв праці,13,12,11,10,9,8,9,10,11,12,11,10,9,10,11,12,13,14,15,16,17,18,0,1,2,3,4,5,6,7
Студентська,12,11,10,9,8,7,8,9,10,11,10,9,8,9,10,11,12,13,14,15,16,17,1,0,1,2,3,4,5,6
Академіка Павлова,11,10,9,8,7,6,7,8,9,10,9,8,7,8,9,10,11,12,13,14,15,16,2,1,0,1,2,3,4,5
Академіка Барабашова,10,9,8,7,6,5,6,7,8,9,8,7,6,7,8,9,10,11,12,13,14,15,3,2,1,0,1,2,3,4
Київська,9,8,7,6,5,4,5,6,7,8,7,6,5,6,7,8,9,10,11,12,13,14,4,3,2,1,0,1,2,3
Пушкінська,8,7,6,5,4,3,4,5,6,7,6,5,4,5,6,7,8,9,10,11,12,13,5,4,3,2,1,0,1,2
Університет,7,6,5,4,3,2,3,4,5,6,5,4,3,4,5,6,7,8,9,10,11,12,6,5,4,3,2,1,0,1
Історичний музей,8,7,6,5,4,3,4,5,6,5,4,3,2,3,4,5,6,7,8,9,10,11,7,6,5,4,3,2,1,0
